section,number,title,crn,cap,enrl,avail,instructor_last,instructor_first,dates,restrictions,prerequisites,delivery,days,start,end,building,room,credits,fee,fee_type
ANTH,303,Qualitative Methods in Anth,20399,35,32,3,Fisher,Jae,04/02-06/14,OV,"ANTH 201 or HNRS 203. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face,TR,1400.0,1550.0,A,H,0,,30 	5
ANTH,308,Prehist Hunter-Gatherer Societ,20527,35,32,3,Koetje,Todd A.,04/02-06/14,OV,"ANTH 210. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face,MTWR,900.0,950.0,A,H,0,,18 	4
ANTH,310,"Monuments, Cities, and Taxes",23601,35,32,3,Ek,Jerald David,04/02-06/14,OV,"ANTH 102 or ANTH 210. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face,MWF,1500.0,1620.0,A,H,0,,18 	5
ANTH,335,Quantitative Methods in Anthro,20467,35,32,3,Shekelle,Myron Browne,04/02-06/14,OV,"ANTH 201 or HNRS 203 or ANTH 210 or ANTH 215. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face QSR,MWF,1300.0,1420.0,H,H,2,,33 	5
ANTH,335,Quantitative Methods in Anthro,23603,35,29,6,Weitz,Andrew,04/02-06/14,OV,"ANTH 201 or HNRS 203 or ANTH 210 or ANTH 215. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face QSR,MWF,830.0,950.0,H,H,2,,33 	5
ANTH,350,Ecology of Human Variation,23781,25,18,7,Shekelle,Myron Browne,04/02-06/14,OV,"ANTH 215; One from: ANTH 201, ANTH 210, HNRS 203. New Section",Face-to-Face,MWF,1430.0,1550.0,H,H,2,,53 	5
ANTH,353,Sex and Gender in Culture,20063,50,49,1,Yu,Yeon Jung,04/02-06/14,OV,"ANTH 201 or HNRS 203. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face,MWF,1000.0,1120.0,E,S,4,,13 	5
ANTH,362,ANTH Perspectives on Asia,23604,35,30,5,Pine,Judith M.S.,04/02-06/14,OV,ANTH 201 or HNRS 203.,Face-to-Face,MWF,1000.0,1120.0,A,H,0,,30 	5
ANTH,420,Human Osteology/Forensic Anth,23741,24,24,0,Brasil,Marianne Fatima,04/02-06/14,OV,ANTH 210 or ANTH 215 or ANTH 335 or ANTH 410 or permission of instructor.,Face-to-Face,MWF,1500.0,1620.0,A,H,3,,14 	5
ANTH,423,Human Evolution,22258,25,25,0,Monson,Tesla A.,04/02-06/14,OV,"ANTH 102 or ANTH 210 or ANTH 215 and ANTH 301 or ANTH 308 or ANTH 310 or ANTH 350, or junior standing in Biology or Anthropology major, or instructor permission. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day +ARR",Face-to-Face WP3,TR,900.0,1050.0,A,H,3,,14 	5
ANTH,424,Medical Anthropology,23093,25,23,2,Felker,Fiona Mari,04/02-06/14,OV,"ANTH 201 or HNRS 203, and junior standing or instructor permission. +ARR MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day New Time",Face-to-Face WP3,MWF,1300.0,1420.0,E,S,3,,13 	5
ANTH,454,Participatory Action Research,23605,23,13,10,Fisher,Jae,04/02-06/14,OV,"ANTH 303 or ANTH 471 or permission of instructor. +Arr MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day New Time",Face-to-Face,MW,1500.0,1650.0,A,H,3,,19 	5
ANTH,457,Death and Dying,23606,20,20,0,Young,Kathleen,04/02-06/14,OV,"ANTH 301 and junior or senior status. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day +ARR",Face-to-Face,TR,1500.0,1650.0,B,H,1,,06 	5
ANTH,462,Crit Iss in Indigenous NW Std,22773,20,10,10,Shepard,Michael Andrew,04/02-06/14,OV,"ANTH 361 or instructor permission. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day New Time New Room",Face-to-Face,MWF,1000.0,1120.0,A,H,3,,19 	5
ANTH,469,Internship,20637,10,1,9,Pine,Judith M.S.,04/02-06/14,MJ OV,permission of instructor.,,,,,,,,,
ANTH,470,Museology Studies,20761,5,1,4,Pine,Judith M.S.,04/02-06/14,MJ OV,"ANTH 301 and junior or senior, or permission of faculty liaison.",,,,,,,,,
ANTH,472,Visual Anthropology,23607,20,15,5,Mihai,Mariangela,04/02-06/14,OV,"ANTH 301 or ANTH 303 and junior or senior status, or permission of instructor. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face,TR,1500.0,1720.0,B,H,1,,51 	5
ANTH,479,People of the Sea and Cedar,23727,5,2,3,Pine,Judith M.S.,04/02-06/14,MJ JR SR OV,ANTH 301 and junior status or instructor permission. Must reach junior status by winter quarter.,,,,,,,,,
ANTH,484,Intercultural Education,23608,20,11,9,Bocast,Brooke Schwartz,04/02-06/14,OV,"ANTH 201 or HNRS 203 or permission of instructor. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face,MWF,1300.0,1420.0,B,H,1,,14 	5
ANTH,490,Issues in Eurasian Paleolithic,23609,25,6,19,Koetje,Todd A.,04/02-06/14,SR OV,"Senior status in anthropology. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day",Face-to-Face WP3,TR,1300.0,1520.0,A,H,0,,14 	5
ANTH,490,Earliest Art and Culture,23610,20,13,7,Monson,Tesla A.,04/02-06/14,SR OV,"Senior status in anthropology. MAJORS ONLY 1st 3 days of Phase I, hold removed - 4th day +arr",Face-to-Face WP3,TR,1400.0,1550.0,B,H,4,,01 	5
ANTH,495,Tch/Lrn Process in Anthropolgy,23096,5,0,5,Young,Kathleen,04/02-06/14,MJ OV,Permission of instructor.,,,,,,,,,
ANTH,495,Tch/Lrn Process in Anthropolgy,23850,5,3,2,Yu,Yeon Jung,04/02-06/14,OV,Permission of instructor. New Section,,,,,,,,,
ANTH,495,Tch/Lrn Process in Anthropolgy,24155,1,1,0,Brasil,Marianne Fatima,04/02-06/14,OV,Permission of instructor. New Section,,,,,,,,,
ANTH,496,Portfolio Assembly,20356,8,8,0,Koetje,Todd A.,04/02-06/14,MJ SR OV,"Senior status in anthropology. Graduating Seniors Only, please enroll the last qtr.",,,,,,,,,
ANTH,496,Portfolio Assembly,21236,8,6,2,Pine,Judith M.S.,04/02-06/14,MJ SR OV,"Senior status in anthropology. Graduating Seniors Only, please enroll the last qtr.",,,,,,,,,
ANTH,496,Portfolio Assembly,21360,8,6,2,Young,Kathleen,04/02-06/14,MJ SR OV,"Senior status in anthropology. Graduating Seniors Only, please enroll the last qtr.",,,,,,,,,
ANTH,496,Portfolio Assembly,22519,8,7,1,Ek,Jerald David,04/02-06/14,MJ SR OV,"Senior status in anthropology. Graduating Seniors Only, please enroll the last qtr.",,,,,,,,,
ANTH,496,Portfolio Assembly,22520,10,10,0,Monson,Tesla A.,04/02-06/14,MJ SR OV,"Senior status in anthropology. Graduating Seniors Only, please enroll the last qtr.",,,,,,,,,
ANTH,496,Portfolio Assembly,23631,8,6,2,Fisher,Jae,04/02-06/14,MJ SR OV,Senior status in anthropology.,,,,,,,,,
ANTH,496,Portfolio Assembly,23632,8,7,1,Yu,Yeon Jung,04/02-06/14,MJ SR OV,Senior status in anthropology.,,,,,,,,,
ANTH,501,History of Anthropology,21179,15,2,13,Fisher,Jae,04/02-06/14,GR MJ GR PB PM OV,Graduate status in the anthropology program or permission of instructor. +Arr New Time,Face-to-Face,TR,1600.0,1750.0,A,H,3,,19 	5
ANTH,520,Human Osteology,24113,1,1,0,Brasil,Marianne Fatima,04/02-06/14,GR MJ GR PB PM OV,Graduate status in the anthropology program or permission of instructor. New Section,Face-to-Face,MWF,1500.0,1620.0,A,H,3,,14 	5
ANTH,524,Applied Medical Anthropology,23100,0,0,0,Felker,Fiona Mari,04/02-06/14,GR MJ GR PB PM OV,Graduate status in the anthropology program or permission of instructor. New Time,Face-to-Face,MWF,1300.0,1420.0,E,S,3,,13 	5
ANTH,525,Primate Evolution,24204,0,0,0,Monson,Tesla A.,04/02-06/14,GR MJ GR PB PM OV,Graduate status in the anthropology program or permission of instructor. New Section,Face-to-Face,TR,900.0,1050.0,A,H,3,,14 	5
ANTH,554,Participatory Action Research,23633,2,2,0,Fisher,Jae,04/02-06/14,GR MJ GR PB PM OV,ANTH 571 or permission of instructor. +Arr New Time,Face-to-Face,MW,1500.0,1650.0,A,H,3,,19 	5
ANTH,586,Research Mentorship,22774,20,4,16,Pine,Judith M.S.,04/02-06/14,MJ GR PB PM OV,"Graduate status in the Anthropology program or permission of instructor. To be taken Winter and Sprig Quarter by first year students, and at least once in the second year.",Face-to-Face,T,2400.0,2450.0,A,H,3,,19 	1
ANTH,690,Thesis,20064,10,4,6,Yu,Yeon Jung,04/02-06/14,GR MJ GR PB PM OV,formal advancement to candidacy for MA in Anthropology,,,,,,,,,
ANTH,699,Continuous Enrollment,20229,10,1,9,Patrick,David L.,04/02-06/14,GR MJ GR PB PM OV,Arabic Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs,,,,,,,,,
ARAB,103,Elem Arabic,20514,25,7,18,Hussein Abdelbaki,Tamer,04/02-06/14,OV,ARAB 102.,Face-to-Face,MWF,1300.0,1420.0,M,H,1,,03 	5
ARAB,203,IntermediateArabic,20532,25,4,21,Hussein Abdelbaki,Tamer,04/02-06/14,MJ OV,Acceptance into the Studio Art BFA program. New Section Art History Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs,Face-to-Face,MW,900.0,1140.0,FI,230,1,,52 	5	$61.50 Flat Fee
A/HI,211,History of Western Art I,23835,60,58,2,Coty,Katherine,04/02-06/14,OV,New Section,Face-to-Face HUM,TR,1600.0,1720.0,F,I,2,,38 	3
A/HI,240,Visual Cult W Europe 19th C,23778,180,180,0,Cadger,Emily Ann,04/02-06/14,OV,New Section,,,,,,,,,
A/HI,272,Contemporary Art in Asia,23520,185,183,2,Sapin,Julia Elizabeth,04/02-06/14,OV,A/HI 300	Directed Independent Study	20115	15	0	15	Staff	04/02-06/14 variable fee,Face-to-Face,MW,1000.0,1120.0,M,H,1,,38 	3	$1.50 Flat Fee
A/HI,302,Instructional Assistant,21449,5,1,4,Sapin,Julia Elizabeth,04/02-06/14,OV,,,,,,,,,,
A/HI,302,Instructional Assistant,22356,5,0,5,Kerman,Monique Michelle Fowler Paul,04/02-06/14,OV,,,,,,,,,,
A/HI,302,Instructional Assistant,22358,5,0,5,Berzal de Dios,Jimena Ines,04/02-06/14,OV,,,,,,,,,,
A/HI,302,Instructional Assistant,23865,5,2,3,Witkowski,Jacqueline,04/02-06/14,OV,New Section,,,,,,,,,
A/HI,305,Western Gallery Workshop,21074,6,4,2,Fejeran,Zoë,04/02-06/14,OV,6 credits in Art or Art History; instructor permission; meet Western Gallery intern selection criteria. This class meets in FI 122,Face-to-Face,T,1500.0,1630.0,FI,OFC,1,,-3
A/HI,306,Arts Internship,21073,15,1,14,Jaye,Cara E.,04/02-06/14,OV,24 credits in Art History and written permission of instructor.,,,,,,,,,
A/HI,315,Early Modern Civic Identity,23915,36,31,5,Coty,Katherine,04/02-06/14,OV,Any A/HI or equivalent 200-level course. New Section,Face-to-Face,TR,1200.0,1350.0,F,I,2,,38 	5	$1.50 Flat Fee
A/HI,383,Contemp. Art-African Diaspora,23521,36,38,-2,Kerman,Monique Michelle Fowler Paul,04/02-06/14,OV,Any A/HI or equivalent 200-level course.,Face-to-Face,TR,1000.0,1150.0,F,I,2,,38 	5	$14.41 Flat Fee
A/HI,391,Textile Art + Theory,23522,36,35,1,Witkowski,Jacqueline,04/02-06/14,OV,Any A/HI or equivalent 200-level course. New Time Was MW 1400-1550 A/HI 400	Directed Independent Study	20116	8	0	8	Staff	04/02-06/14,Face-to-Face,MW,1300.0,1450.0,F,I,2,,38 	5
A/HI,475,Senior Projects/Practicum,20117,18,14,4,Sapin,Julia Elizabeth,04/02-06/14,MJ OV,A/HI 375; art history majors only. A/HI majors: A/HI 375; Non-majors 5 credits 300 level A/HI or permission of instructor.,Face-to-Face WP3,MW,1500.0,1650.0,F,I,2,,32 	5	$35.00 Flat Fee
A/HI,490,Semnr: Exhibition Theory/Pract,23916,18,13,5,Gellert,Carl Archer,04/02-06/14,OV,Any A/HI or equivalent 300-level course. New Section Arts Enterprise/Cult Innovatn Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs,Online DELIVERY Online-Synchronous WP3,TR,1500.0,1650.0,ONLINE,SYNC,5,,
AECI,303,Conducting the Enterprise,21554,30,11,19,Senger,Lucas G.,04/02-06/14,OV,CFPA major or departmental approval; AECI 302. Restrictions not enforced at registration. New Room,Face-to-Face,MW,1600.0,1750.0,F,I,2,,38 	4	$12.50 Flat Fee
AECI,304,Internship,22131,10,10,0,Senger,Lucas G.,04/02-06/14,MJ OV,CFPA major or deparmental approval; AECI 303.,,,,,,,,,
AECI,407,Capstone Lab,21555,25,18,7,Senger,Lucas G.,04/02-06/14,OV,CFPA major or departmental approval; AECI 406. Restrictions not enforced at registration. Astronomy Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs,Face-to-Face,MW,1400.0,1550.0,B,H,3,,19 	4	$15.00 Flat Fee
ASTR,113,"Sun, Moon, and Planets",21740,45,44,1,Boujibar,Asmaa,04/02-06/14,OV,MATH 107 or higher or suitable math assessment score. ASTR 300	Directed Independent Study	23211	5	0	5	Staff	04/02-06/14,Face-to-Face SCI,MWF,1000.0,1050.0,C,F,0,,25 	3
ASTR,320,Cosmology,20450,25,14,11,Rines,Ken,04/02-06/14,OV,BNS 305 or instructor permission. Biology Class GUR/Course Attributes	Title Time	Crn Location	Cap	Enrl	Avail	Instructor Credits	Dates Addl Chrgs,Face-to-Face,W,1300.0,1650.0,A,I,5,,37 	4	$94.61 Flat Fee
BIOL,101,Introduction to Biology w/lab,21302,24,23,1,Connell,Georgianne Leana,04/02-06/14,OV,,Face-to-Face LSCI,T,1000.0,1150.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21303,24,23,1,Connell,Georgianne Leana,04/02-06/14,OV,,Face-to-Face LSCI,T,1200.0,1350.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21304,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,,Face-to-Face LSCI,T,1400.0,1550.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21305,24,23,1,Connell,Georgianne Leana,04/02-06/14,OV,,Face-to-Face LSCI,R,1400.0,1550.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21306,24,23,1,Connell,Georgianne Leana,04/02-06/14,OV,,Face-to-Face LSCI,R,1200.0,1350.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21307,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,,Face-to-Face LSCI,R,1400.0,1550.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21308,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,W,1000.0,1150.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21309,24,23,1,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,W,1200.0,1350.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21310,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,W,1400.0,1550.0,IS,230,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21311,24,23,1,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,F,1000.0,1150.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21312,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,F,1200.0,1350.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21313,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,F,1400.0,1550.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,21314,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,W,1000.0,1150.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,22084,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,W,1200.0,1350.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,22742,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,W,1400.0,1550.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,23135,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,R,1000.0,1150.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,23136,24,24,0,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,R,1200.0,1350.0,IS,220,1,,00 	4	$31.00 Flat Fee
BIOL,101,Introduction to Biology w/lab,23137,24,23,1,Connell,Georgianne Leana,04/02-06/14,OV,New Time,Face-to-Face LSCI,R,1000.0,1150.0,IS,230,1,,00 	4	$31.00 Flat Fee
